"0x8b0890","CP","Object type (Plist)","Palette (Plist)","Tile Config (Plist)","Map Pointer (Plist)","Tile Animation 1","Tile Animation 2","Map Changes (Plist)","Fog level","Enable Battle Prep? (X)","Chapter Title","Chapter title image 2 (X).","Initial coord","B17","Weather","Battle Backgrounds","Difficulty","Player Phase BGM","Enemy Phase BGM","NPC BGM","Player Phase BGM 2 (X)","Enemy Phase BGM 2 (X)","NPC BGM 2 (X)","Player Phase BGM Flag 4","Enemy Phase BGM Flag 4","???","???","???","Destructible Wall HP","B45","B46","B47","B48","B49","B50","B51","B52","B53","B54","B55","B56","B57","B58","B59","B60","??","W62","W64","W66","W68","W70","W72","W74","W76","W78","W80","W82","W84","W86","W88","W90","W92","??","D96","D100","D104","D108","Map Name 1","Map Name 2 (X)","Event ID (Plist)","World Map Event","??","B119","B120","B121","??","B123","B124","B125","??","B127","Chapter ID","??","B130","B131","??","B133","VictoryBGM(# Foes Left)","Dark Before Initial Event","Clear Condition","Detailed Clear Condition","Mini-Objective Display","Turns to Defend","Unit to Defend","Withdrawal Point","B144","??","??","??"
"0x25 Ch2 Tower of Valni 2","0x81c3364","0x88","0x89","0x8a","0x8e","0x0","0x0","0x8f","0x0","0x0","0x25","0x0","1","0","0x0","0xb","0x234","0x12","0x17","0xf","0x12","0x17","0xf","0xffff","0xffff","0xb","0xffff","0xffff","50","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","0","100","100","100","100","80","80","80","80","60","60","60","60","40","40","40","40","0","1060","1060","1060","1060","0x185","0x185","0x90","0x26","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",0,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x1c0","0x19e","0x1","0","0x0","255","0","0x9","0x0","0x0"
"0x26 Ch3 Tower of Valni 3","0x81c3368","0x88","0x89","0x8a","0x91","0x0","0x0","0x92","0x0","0x0","0x26","0x0","1","0","0x0","0xb","0x234","0x12","0x17","0xf","0x12","0x17","0xf","0xffff","0xffff","0xb","0xffff","0xffff","50","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","0","100","100","100","100","80","80","80","80","60","60","60","60","40","40","40","40","0","1060","1060","1060","1060","0x186","0x186","0x93","0x27","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",0,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x1c0","0x19e","0x1","0","0x0","255","0","0x9","0x0","0x0"
"0x27 Ch4 Tower of Valni 4","0x81c336c","0x88","0x89","0x8a","0x94","0x0","0x0","0x95","0x0","0x0","0x27","0x0","1","0","0x0","0xb","0x234","0x12","0x17","0xf","0x12","0x17","0xf","0xffff","0xffff","0xb","0xffff","0xffff","50","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","0","100","100","100","100","80","80","80","80","60","60","60","60","40","40","40","40","0","1060","1060","1060","1060","0x187","0x187","0x96","0x28","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",0,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x1c0","0x19e","0x1","0","0x0","255","0","0x9","0x0","0x0"
"0x28 Ch5 Tower of Valni 5","0x81c3370","0x88","0x89","0x8a","0x97","0x0","0x0","0x98","0x0","0x0","0x28","0x0","1","0","0x0","0xb","0x234","0x12","0x17","0xf","0x12","0x17","0xf","0xffff","0xffff","0xb","0xffff","0xffff","50","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","0","100","100","100","100","80","80","80","80","60","60","60","60","40","40","40","40","0","1060","1060","1060","1060","0x188","0x188","0x99","0x29","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",0,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x1c0","0x19e","0x1","0","0x0","255","0","0x9","0x0","0x0"
"0x29 Ch6 Tower of Valni 6","0x81c3374","0x88","0x89","0x8a","0x9a","0x0","0x0","0x9b","0x0","0x0","0x29","0x0","1","0","0x0","0xb","0x234","0x12","0x17","0xf","0x12","0x17","0xf","0xffff","0xffff","0xb","0xffff","0xffff","50","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","0","100","100","100","100","80","80","80","80","60","60","60","60","40","40","40","40","0","1060","1060","1060","1060","0x189","0x189","0x9c","0x2a","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",0,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x1c0","0x19e","0x1","0","0x0","255","0","0x9","0x0","0x0"
"0x2A Ch7 Tower of Valni 7","0x81c3378","0x88","0x89","0x8a","0x9d","0x0","0x0","0x9e","0x0","0x0","0x2a","0x0","1","0","0x0","0xb","0x234","0x12","0x17","0xf","0x12","0x17","0xf","0xffff","0xffff","0xb","0xffff","0xffff","50","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","0","100","100","100","100","80","80","80","80","60","60","60","60","40","40","40","40","0","1060","1060","1060","1060","0x18a","0x18a","0x9f","0x2b","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",0,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x1c0","0x19e","0x1","0","0x0","255","0","0x9","0x0","0x0"
"0x2B Ch8 Tower of Valni 8","0x81c337c","0x88","0x89","0x8a","0xa0","0x0","0x0","0xa1","0x0","0x0","0x2b","0x0","1","0","0x0","0xb","0x234","0x12","0x17","0xf","0x12","0x17","0xf","0xffff","0xffff","0xb","0xffff","0xffff","50","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","0","100","100","100","100","80","80","80","80","60","60","60","60","40","40","40","40","0","1060","1060","1060","1060","0x18b","0x18b","0xa2","0x2c","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",0,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x1c0","0x19e","0x1","0","0x0","255","0","0x9","0x0","0x0"
"0x2C","0x81c3380","0x88","0x89","0x8a","0xa0","0x0","0x0","0xa1","0x0","0x0","0x0","0x0","1","0","0x0","0xb","0x234","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",0,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x0","0x0","0x0","0","0x0","255","0","0x0","0x0","0x0"
"0x2D","0x81c3380","0x88","0x89","0x8a","0xa0","0x0","0x0","0xa1","0x0","0x0","0x0","0x0","1","0","0x0","0xb","0x234","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",0,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x0","0x0","0x0","0","0x0","255","0","0x0","0x0","0x0"
"0x2E Ch1 Lagdou Ruins 1","0x81c3384","0x6c","0xa3","0x6e","0xa4","0x5","0x0","0xa5","0x0","0x0","0x2e","0x0","1","0","0x0","0xe","0x244","0x12","0x17","0xf","0x12","0x17","0xf","0xffff","0xffff","0xb","0xffff","0xffff","50","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","0","100","100","100","100","80","80","80","80","60","60","60","60","40","40","40","40","0","1060","1060","1060","1060","0x18e","0x18e","0xa6","0x2d","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",0,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x1c0","0x19e","0x1","0","0x0","255","0","0x9","0x0","0x0"
"0x2F Ch2 Lagdou Ruins 2","0x81c3388","0x6c","0xa3","0x6e","0xa7","0x5","0x0","0xa8","0x0","0x0","0x2f","0x0","1","0","0x0","0xe","0x244","0x12","0x17","0xf","0x12","0x17","0xf","0xffff","0xffff","0xb","0xffff","0xffff","50","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","0","100","100","100","100","80","80","80","80","60","60","60","60","40","40","40","40","0","1060","1060","1060","1060","0x18f","0x18f","0xa9","0x2e","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",0,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x1c0","0x19e","0x1","0","0x0","255","0","0x9","0x0","0x0"
"0x30 Ch3 Lagdou Ruins 3","0x81c338c","0x6c","0xa3","0x6e","0xaa","0x5","0x0","0xab","0x0","0x0","0x30","0x0","1","0","0x0","0xe","0x244","0x12","0x17","0xf","0x12","0x17","0xf","0xffff","0xffff","0xb","0xffff","0xffff","50","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","0","100","100","100","100","80","80","80","80","60","60","60","60","40","40","40","40","0","1060","1060","1060","1060","0x190","0x190","0xac","0x2f","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",0,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x1c0","0x19e","0x1","0","0x0","255","0","0x9","0x0","0x0"
"0x31 Ch4 Lagdou Ruins 4","0x81c3390","0x6c","0xa3","0x6e","0xad","0x5","0x0","0xae","0x0","0x0","0x31","0x0","1","0","0x0","0xe","0x244","0x12","0x17","0xf","0x12","0x17","0xf","0xffff","0xffff","0xb","0xffff","0xffff","50","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","0","100","100","100","100","80","80","80","80","60","60","60","60","40","40","40","40","0","1060","1060","1060","1060","0x191","0x191","0xaf","0x30","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",0,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x1c0","0x19e","0x1","0","0x0","255","0","0x9","0x0","0x0"
"0x32 Ch5 Lagdou Ruins 5","0x81c3394","0x6c","0xa3","0x6e","0xb0","0x5","0x0","0xb1","0x0","0x0","0x32","0x0","1","0","0x0","0xe","0x244","0x12","0x17","0xf","0x12","0x17","0xf","0xffff","0xffff","0xb","0xffff","0xffff","50","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","0","100","100","100","100","80","80","80","80","60","60","60","60","40","40","40","40","0","1060","1060","1060","1060","0x192","0x192","0xb2","0x31","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",0,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x1c0","0x19e","0x1","0","0x0","255","0","0x9","0x0","0x0"
"0x33 Ch6 Lagdou Ruins 6","0x81c3398","0x6c","0xa3","0x6e","0xb3","0x5","0x0","0xb4","0x0","0x0","0x33","0x0","1","0","0x0","0xe","0x244","0x12","0x17","0xf","0x12","0x17","0xf","0xffff","0xffff","0xb","0xffff","0xffff","50","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","0","100","100","100","100","80","80","80","80","60","60","60","60","40","40","40","40","0","1060","1060","1060","1060","0x193","0x193","0xb5","0x32","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",0,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x1c0","0x19e","0x1","0","0x0","255","0","0x9","0x0","0x0"
"0x34 Ch7 Lagdou Ruins 7","0x81c339c","0x6c","0xa3","0x6e","0xb6","0x5","0x0","0xb7","0x0","0x0","0x34","0x0","1","0","0x0","0xe","0x244","0x12","0x17","0xf","0x12","0x17","0xf","0xffff","0xffff","0xb","0xffff","0xffff","50","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","0","100","100","100","100","80","80","80","80","60","60","60","60","40","40","40","40","0","1060","1060","1060","1060","0x194","0x194","0xb8","0x33","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",0,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x1c0","0x19e","0x1","0","0x0","255","0","0x9","0x0","0x0"
"0x35 Ch8 Lagdou Ruins 8","0x81c33a0","0x18","0xb9","0x1a","0xba","0x1c","0x0","0xbb","0x0","0x0","0x35","0x0","1","0","0x0","0xe","0x244","0x12","0x17","0xf","0x12","0x17","0xf","0xffff","0xffff","0xb","0xffff","0xffff","50","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","0","100","100","100","100","80","80","80","80","60","60","60","60","40","40","40","40","0","1060","1060","1060","1060","0x195","0x195","0xbc","0x34","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",0,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x1c0","0x19e","0x1","0","0x0","255","0","0x9","0x0","0x0"
"0x36 Ch9 Lagdou Ruins 9","0x81c33a4","0x50","0x51","0x52","0xbd","0x0","0x54","0xbe","0x0","0x0","0x36","0x0","1","0","0x0","0x2","0x244","0x12","0x17","0xf","0x12","0x17","0xf","0xffff","0xffff","0xb","0xffff","0xffff","50","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","0","100","100","100","100","80","80","80","80","60","60","60","60","40","40","40","40","0","1060","1060","1060","1060","0x196","0x196","0xbf","0x35","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",0,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x1c0","0x19e","0x1","0","0x0","255","0","0x9","0x0","0x0"
"0x37 Ch10 Lagdou Ruins 10","0x81c33a8","0x6c","0xa3","0x6e","0xc0","0x5","0x0","0xc1","0x0","0x0","0x37","0x0","1","0","0x0","0xe","0x244","0x12","0x17","0xf","0x12","0x17","0xf","0xffff","0xffff","0xb","0xffff","0xffff","50","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","0","100","100","100","100","80","80","80","80","60","60","60","60","40","40","40","40","0","1060","1060","1060","1060","0x197","0x197","0xc2","0x36","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",0,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x1c0","0x19e","0x1","0","0x0","255","0","0x9","0x0","0x0"
"0x38  Castle Frelia","0x81c33ac","0x1","0x2","0x3","0xc3","0x5","0x0","0xc4","0x0","0x0","0x38","0x0","1","0","0x0","0xe","0x234","0x9","0x13","0xf","0x9","0x13","0xf","0xffff","0xffff","0xb","0xffff","0xffff","50","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","0","100","100","100","100","80","80","80","80","60","60","60","60","40","40","40","40","0","1060","1060","1060","1060","0x198","0x198","0xc5","0x37","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",0,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x1c0","0x19e","0x1","0","0x0","255","0","0x9","0x0","0x0"
"0x39  Melkaen Coast","0x81c33b0","0x1","0x2","0x3","0xc6","0x5","0x0","0xc7","0x0","0x0","0x39","0x0","1","0","0x0","0x0","0x234","0xd","0x15","0xf","0xd","0x15","0xf","0xffff","0xffff","0xb","0xffff","0xffff","50","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","0","100","100","100","100","80","80","80","80","60","60","60","60","40","40","40","40","0","1060","1060","1060","1060","0x199","0x199","0xc8","0x38","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",0,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x1c0","0x19e","0x1","0","0x0","255","0","0x1d","0x0","0x0"
"0x3A","0x81c3380","0x3c","0x68","0x3e","0xc9","0x0","0x0","0x0","0x0","0x0","0x0","0x0","1","0","0x0","0x0","0x234","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",0,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x0","0x0","0x0","0","0x0","255","0","0x0","0x0","0x0"
"0x3B","0x81c33b4","0xe","0xf","0x10","0xca","0x12","0x0","0x0","0x0","0x0","0x0","0x0","1","0","0x0","0x4","0x234","0x9","0x13","0xf","0x9","0x13","0xf","0xffff","0xffff","0xb","0xffff","0xffff","50","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","0","100","100","100","100","80","80","80","80","60","60","60","60","40","40","40","40","0","1060","1060","1060","1060","0x0","0x0","0xcb","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",0,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x1c0","0x19e","0x1","0","0x0","255","0","0x9","0x0","0x0"
"0x3C","0x81c33b8","0x1","0x2","0x3","0xcc","0x5","0x0","0x0","0x0","0x0","0x0","0x0","1","0","0x0","0x4","0x234","0x9","0x13","0xf","0x9","0x13","0xf","0xffff","0xffff","0xb","0xffff","0xffff","50","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","0","100","100","100","100","80","80","80","80","60","60","60","60","40","40","40","40","0","1060","1060","1060","1060","0x0","0x0","0xcd","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",0,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x1c0","0x19e","0x1","0","0x0","255","0","0x9","0x0","0x0"
"0x3D Ch11 Creeping Darkness","0x81c33bc","0x3c","0xce","0x3e","0xcf","0x0","0x0","0xd0","0x3","0x0","0x3d","0x0","1","0","0x0","0xa","0x234","0x11","0x18","0xf","0x11","0x18","0xf","0xffff","0xffff","0xb","0xffff","0xffff","50","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","0","100","100","100","100","80","80","80","80","60","60","60","60","40","40","40","40","0","1060","1060","1060","1060","0x19a","0x19a","0xd1","0x39","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",0,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x1ae","0x19e","0x1","0","0x0","255","0","0x1a","0x0","0x0"
"0x3E Ch25 Phantom Ship","0x81c33c4","0xe","0x72","0x10","0xd2","0xd3","0x0","0xd4","0x3","0x0","0x3e","0x0","1","0","0x0","0x8","0x234","0x11","0x18","0xf","0x11","0x18","0xf","0xffff","0xffff","0xb","0xffff","0xffff","50","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","0","100","100","100","100","80","80","80","80","60","60","60","60","40","40","40","40","0","1060","1060","1060","1060","0x19b","0x19b","0xd5","0x3a","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",0,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x1bc","0x19e","0x1","0","0x0","255","0","0x8","0x0","0x0"
"0x3F","0x81c3380","0x1","0x2","0x3","0xd6","0x5","0x0","0x0","0x0","0x0","0x0","0x0","1","0","0x0","0x0","0x0","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0x0","0x0","0xc5","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",0,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x0","0x0","0x0","0","0x0","255","0","0x0","0x0","0x0"
"0x40","0x81c3380","0x1","0x2","0x3","0xd7","0x5","0x0","0x0","0x0","0x0","0x0","0x0","1","0","0x0","0x0","0x0","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0x0","0x0","0xc5","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",0,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x0","0x0","0x0","0","0x0","255","0","0x0","0x0","0x0"
"0x41","0x81c3380","0x2e","0x34","0x30","0xd8","0x0","0x0","0x0","0x0","0x0","0x0","0x0","1","0","0x0","0x0","0x0","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0x0","0x0","0xc5","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",0,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x0","0x0","0x0","0","0x0","255","0","0x0","0x0","0x0"
"0x42","0x81c3380","0x18","0x48","0x1a","0xd9","0x1c","0x0","0xda","0x0","0x0","0x0","0x0","1","0","0x0","0x0","0x0","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0x0","0x0","0xc5","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",0,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x0","0x0","0x0","0","0x0","255","0","0x0","0x0","0x0"
"0x43","0x81c3380","0x18","0x48","0x1a","0xdb","0x1c","0x0","0x0","0x0","0x0","0x0","0x0","1","0","0x0","0x0","0x0","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0x0","0x0","0xc5","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",0,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x0","0x0","0x0","0","0x0","255","0","0x0","0x0","0x0"
"0x44","0x81c3380","0x18","0x19","0x1a","0xdc","0x1c","0x0","0x0","0x0","0x0","0x0","0x0","1","0","0x0","0x0","0x0","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0x0","0x0","0xc5","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",0,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x0","0x0","0x0","0","0x0","255","0","0x0","0x0","0x0"
"0x45","0x81c3380","0x1","0x2","0x3","0xdd","0x5","0x0","0x0","0x0","0x0","0x0","0x0","1","0","0x0","0x0","0x0","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0x0","0x0","0xc5","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",0,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x0","0x0","0x0","0","0x0","255","0","0x0","0x0","0x0"
"0x46","0x81c3380","0x79","0x7a","0x7b","0xde","0x7d","0x0","0xdf","0x0","0x0","0x0","0x0","1","0","0x0","0x0","0x0","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0x0","0x0","0xc5","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",0,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x0","0x0","0x0","0","0x0","255","0","0x0","0x0","0x0"
"0x47","0x81c3380","0x18","0x48","0x1a","0xe0","0x1c","0x0","0xe1","0x0","0x0","0x0","0x0","1","0","0x0","0x0","0x0","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0x0","0x0","0xc5","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",0,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x0","0x0","0x0","0","0x0","255","0","0x0","0x0","0x0"
"0x48","0x81c3380","0x18","0x57","0x1a","0xe2","0x1c","0x0","0xe3","0x0","0x0","0x0","0x0","1","0","0x0","0x0","0x0","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0x0","0x0","0xc5","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",0,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x0","0x0","0x0","0","0x0","255","0","0x0","0x0","0x0"
"0x49","0x81c3380","0x1","0x2","0x3","0xe4","0x5","0x0","0x0","0x0","0x0","0x0","0x0","1","0","0x0","0x0","0x0","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0x0","0x0","0xc5","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",0,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x0","0x0","0x0","0","0x0","255","0","0x0","0x0","0x0"
"0x4A","0x81c3380","0x3c","0x68","0x3e","0xe5","0x0","0x0","0x0","0x0","0x0","0x0","0x0","1","0","0x0","0x0","0x0","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0x0","0x0","0xc5","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",0,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x0","0x0","0x0","0","0x0","255","0","0x0","0x0","0x0"
"0x4B","0x81c3380","0x79","0xe6","0x7b","0xe7","0x7d","0x0","0x0","0x0","0x0","0x0","0x0","1","0","0x0","0x0","0x0","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","0xffff","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0x0","0x0","0xc5","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0",0,"0x0","0xff","0xff","0x0","0x0","0x1","0x1","0x0","0x0","0x0","0","0x0","255","0","0x0","0x0","0x0"
